Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason
7168-HDQHG,Female,56,Yes,2,Brownsville,95919,39.440687,-121.263583,3,36,Offer C,Yes,20.57,No,No,,,,,,,,,,,Month-to-Month,No,Bank Withdrawal,19.2,702.9,0,0,740.52,1443.42,Stayed,,
7169-YWAMK,Male,52,Yes,1,Sunol,94586,37.587494,-121.862856,7,72,None,Yes,15.96,No,Yes,DSL,26,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,68.4,4855.35,0,0,1149.12,6004.47,Stayed,,
7173-TETGO,Female,66,Yes,0,Lytle Creek,92358,34.238162,-117.534306,4,72,Offer A,Yes,32.37,Yes,Yes,Fiber Optic,22,Yes,No,No,No,No,No,No,Yes,Two Year,No,Bank Withdrawal,78.5,5602.25,0,0,2330.64,7932.89,Stayed,,
7175-NTIXE,Female,26,No,0,Redwood City,94061,37.461251,-122.235414,0,25,None,Yes,21.67,No,Yes,DSL,48,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,76.15,1992.95,0,0,541.75,2534.7,Stayed,,
7176-WIONM,Female,24,Yes,0,Bishop,93514,37.04584,-118.397236,10,12,Offer D,No,,,Yes,Cable,82,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,49.85,617.15,0,0,0,617.15,Stayed,,
7176-WRTNX,Male,51,No,0,Ventura,93004,34.278697,-119.167798,0,70,Offer A,Yes,14.63,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.95,7711.25,0,0,1024.1,8735.35,Stayed,,
7180-PISOG,Male,41,Yes,0,Piru,93040,34.432843,-118.730106,0,1,None,Yes,36.44,Yes,Yes,Fiber Optic,16,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.5,74.5,0,0,36.44,110.94,Churned,Attitude,Attitude of service provider
7181-BQYBV,Female,52,Yes,0,Garden Grove,92845,33.782955,-118.026456,1,1,None,Yes,25.88,Yes,Yes,Fiber Optic,9,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,102.45,102.45,0,0,25.88,128.33,Churned,Attitude,Attitude of service provider
7181-OQCUT,Male,60,No,0,Fresno,93706,36.654614,-119.903674,0,21,Offer D,Yes,15.89,Yes,Yes,Fiber Optic,3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,103.85,2215,0,0,333.69,2548.69,Stayed,,
7182-OVLBJ,Female,32,Yes,3,Kenwood,95452,38.419525,-122.521585,4,62,None,Yes,28.64,Yes,Yes,Fiber Optic,52,Yes,No,No,No,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,101.15,6638.35,0,30,1775.68,8444.03,Stayed,,
